concept_index,entity_id,raw_concept_id,name,definition_source
0,kc0,Newtons_third_law~~tension_vs_compression_given_force_senses~~judge_force_sense_based_on_sign,Newtons_third_law; tension_vs_compression_given_force_senses; judge_force_sense_based_on_sign,llm:deepseek-chat
1,kc1,anticipate_solved_variables~~determine_joint_is_solvable~~recognize_variable_solvable_from_subsystem,anticipate_solved_variables; determine_joint_is_solvable; recognize_variable_solvable_from_subsystem,llm:deepseek-chat
2,kc2,body_draw_force_on,body_draw_force_on,llm:deepseek-chat
3,kc3,can_connection_be_modeled_in_2D,can_connection_be_modeled_in_2D,llm:deepseek-chat
4,kc4,centroid_of_composite_area,centroid_of_composite_area,llm:deepseek-chat
5,kc5,choose_moment_method,choose_moment_method,llm:deepseek-chat
6,kc6,choose_subsystem,choose_subsystem,llm:deepseek-chat
7,kc7,conditions_equal_force_pulley,conditions_equal_force_pulley,llm:deepseek-chat
8,kc8,count_independent_equations,count_independent_equations,llm:deepseek-chat
9,kc9,count_unknowns,count_unknowns,llm:deepseek-chat
10,kc10,couple_related_to_forces,couple_related_to_forces,llm:deepseek-chat
11,kc11,couple_represents_net_zero_force,couple_represents_net_zero_force,llm:deepseek-chat
12,kc12,couple_represents_net_zero_force~~couple_related_to_forces,couple_represents_net_zero_force; couple_related_to_forces,llm:deepseek-chat
13,kc13,determine_moment,determine_moment,llm:deepseek-chat
14,kc14,determine_subsystem_is_solvable~~identify_external_load_points_on_section~~identify_internal_load_points_on_section,determine_subsystem_is_solvable; identify_external_load_points_on_section; identify_internal_load_points_on_section,llm:deepseek-chat
15,kc15,distinguish_fixed_pin_connections,distinguish_fixed_pin_connections,llm:deepseek-chat
16,kc16,distinguish_rotation_translation,distinguish_rotation_translation,llm:deepseek-chat
17,kc17,equivalence_of_couples,equivalence_of_couples,llm:deepseek-chat
18,kc18,find_angle_given_components,find_angle_given_components,llm:deepseek-chat
19,kc19,find_linear_force_per_length,find_linear_force_per_length,llm:deepseek-chat
20,kc20,find_magnitude_given_components,find_magnitude_given_components,llm:deepseek-chat
21,kc21,find_moment_arm,find_moment_arm,llm:deepseek-chat
22,kc22,find_moment_arm~~moment_sign_sense_relation~~rotation_sense_of_force,find_moment_arm; moment_sign_sense_relation; rotation_sense_of_force,llm:deepseek-chat
23,kc23,find_moment_arm~~rotation_sense_of_force,find_moment_arm; rotation_sense_of_force,llm:deepseek-chat
24,kc24,find_net_force_for_linear_distribution,find_net_force_for_linear_distribution,llm:deepseek-chat
25,kc25,find_net_force_for_uniform_distribution,find_net_force_for_uniform_distribution,llm:deepseek-chat
26,kc26,find_net_force_position_for_linear_distribution,find_net_force_position_for_linear_distribution,llm:deepseek-chat
27,kc27,find_net_force_position_for_uniform_distribution,find_net_force_position_for_uniform_distribution,llm:deepseek-chat
28,kc28,find_pressure_under_linear_distribution,find_pressure_under_linear_distribution,llm:deepseek-chat
29,kc29,find_symmetry_plane,find_symmetry_plane,llm:deepseek-chat
30,kc30,find_uniform_force_per_length,find_uniform_force_per_length,llm:deepseek-chat
