exercise_index,entity_id,original_question_id
0,ex0,0
1,ex1,1
2,ex2,2
3,ex3,3
4,ex4,4
5,ex5,5
6,ex6,6
7,ex7,7
8,ex8,8
9,ex9,9
10,ex10,10
11,ex11,11
12,ex12,12
13,ex13,13
14,ex14,14
15,ex15,15
16,ex16,16
17,ex17,17
18,ex18,18
19,ex19,19
20,ex20,20
21,ex21,21
22,ex22,22
23,ex23,23
24,ex24,24
25,ex25,25
26,ex26,26
27,ex27,27
28,ex28,28
29,ex29,29
30,ex30,30
31,ex31,31
32,ex32,32
33,ex33,33
34,ex34,34
35,ex35,35
36,ex36,36
37,ex37,37
38,ex38,38
39,ex39,39
40,ex40,40
41,ex41,41
42,ex42,42
43,ex43,43
44,ex44,44
45,ex45,45
46,ex46,46
47,ex47,47
48,ex48,48
49,ex49,49
50,ex50,50
51,ex51,51
52,ex52,52
53,ex53,53
54,ex54,54
55,ex55,55
56,ex56,56
57,ex57,57
58,ex58,58
59,ex59,59
60,ex60,60
61,ex61,61
62,ex62,62
63,ex63,63
64,ex64,64
65,ex65,65
66,ex66,66
67,ex67,67
68,ex68,68
69,ex69,69
70,ex70,70
71,ex71,71
72,ex72,72
73,ex73,73
74,ex74,74
75,ex75,75
76,ex76,76
77,ex77,77
78,ex78,78
79,ex79,79
80,ex80,80
81,ex81,81
82,ex82,82
83,ex83,83
84,ex84,84
85,ex85,85
86,ex86,86
87,ex87,87
88,ex88,88
89,ex89,89
90,ex90,90
91,ex91,91
92,ex92,92
93,ex93,93
94,ex94,94
95,ex95,95
96,ex96,96
97,ex97,97
98,ex98,98
99,ex99,99
100,ex100,100
101,ex101,101
102,ex102,102
103,ex103,103
104,ex104,104
105,ex105,105
106,ex106,106
107,ex107,107
108,ex108,108
109,ex109,109
110,ex110,110
111,ex111,111
112,ex112,112
113,ex113,113
114,ex114,114
115,ex115,115
116,ex116,116
117,ex117,117
118,ex118,118
119,ex119,119
120,ex120,120
121,ex121,121
122,ex122,122
123,ex123,123
124,ex124,124
125,ex125,125
126,ex126,126
127,ex127,127
128,ex128,128
129,ex129,129
130,ex130,130
131,ex131,131
132,ex132,132
133,ex133,133
134,ex134,134
135,ex135,135
136,ex136,136
137,ex137,137
138,ex138,138
139,ex139,139
140,ex140,140
141,ex141,141
142,ex142,142
143,ex143,143
144,ex144,144
145,ex145,145
146,ex146,146
147,ex147,147
148,ex148,148
149,ex149,149
150,ex150,150
151,ex151,151
152,ex152,152
153,ex153,153
154,ex154,154
155,ex155,155
156,ex156,156
157,ex157,157
158,ex158,158
159,ex159,159
160,ex160,160
161,ex161,161
162,ex162,162
163,ex163,163
164,ex164,164
165,ex165,165
166,ex166,166
167,ex167,167
168,ex168,168
169,ex169,169
170,ex170,170
171,ex171,171
172,ex172,172
173,ex173,173
174,ex174,174
175,ex175,175
176,ex176,176
177,ex177,177
178,ex178,178
179,ex179,179
180,ex180,180
181,ex181,181
182,ex182,182
183,ex183,183
184,ex184,184
185,ex185,185
186,ex186,186
187,ex187,187
188,ex188,188
189,ex189,189
190,ex190,190
191,ex191,191
192,ex192,192
193,ex193,193
194,ex194,194
195,ex195,195
196,ex196,196
197,ex197,197
198,ex198,198
199,ex199,199
200,ex200,200
201,ex201,201
202,ex202,202
203,ex203,203
204,ex204,204
205,ex205,205
206,ex206,206
207,ex207,207
208,ex208,208
209,ex209,209
210,ex210,210
211,ex211,211
212,ex212,212
213,ex213,213
214,ex214,214
215,ex215,215
216,ex216,216
217,ex217,217
218,ex218,218
219,ex219,219
220,ex220,220
221,ex221,221
222,ex222,222
223,ex223,223
224,ex224,224
225,ex225,225
226,ex226,226
227,ex227,227
228,ex228,228
229,ex229,229
230,ex230,230
231,ex231,231
232,ex232,232
233,ex233,233
234,ex234,234
235,ex235,235
236,ex236,236
237,ex237,237
238,ex238,238
239,ex239,239
240,ex240,240
241,ex241,241
242,ex242,242
243,ex243,243
244,ex244,244
245,ex245,245
246,ex246,246
247,ex247,247
248,ex248,248
249,ex249,249
250,ex250,250
251,ex251,251
252,ex252,252
253,ex253,253
254,ex254,254
255,ex255,255
256,ex256,256
257,ex257,257
258,ex258,258
259,ex259,259
260,ex260,260
261,ex261,261
262,ex262,262
263,ex263,263
264,ex264,264
265,ex265,265
266,ex266,266
267,ex267,267
268,ex268,268
269,ex269,269
270,ex270,270
271,ex271,271
272,ex272,272
273,ex273,273
274,ex274,274
275,ex275,275
276,ex276,276
277,ex277,277
278,ex278,278
279,ex279,279
280,ex280,280
281,ex281,281
282,ex282,282
283,ex283,283
284,ex284,284
285,ex285,285
286,ex286,286
287,ex287,287
288,ex288,288
289,ex289,289
290,ex290,290
291,ex291,291
292,ex292,292
293,ex293,293
294,ex294,294
295,ex295,295
296,ex296,296
297,ex297,297
298,ex298,298
299,ex299,299
300,ex300,300
301,ex301,301
302,ex302,302
303,ex303,303
304,ex304,304
305,ex305,305
306,ex306,306
307,ex307,307
308,ex308,308
309,ex309,309
310,ex310,310
311,ex311,311
312,ex312,312
313,ex313,313
314,ex314,314
315,ex315,315
316,ex316,316
317,ex317,317
318,ex318,318
319,ex319,319
320,ex320,320
321,ex321,321
322,ex322,322
323,ex323,323
324,ex324,324
325,ex325,325
326,ex326,326
327,ex327,327
328,ex328,328
329,ex329,329
330,ex330,330
331,ex331,331
332,ex332,332
333,ex333,333
334,ex334,334
335,ex335,335
336,ex336,336
337,ex337,337
338,ex338,338
339,ex339,339
340,ex340,340
341,ex341,341
342,ex342,342
343,ex343,343
344,ex344,344
345,ex345,345
346,ex346,346
347,ex347,347
348,ex348,348
349,ex349,349
350,ex350,350
351,ex351,351
352,ex352,352
353,ex353,353
354,ex354,354
355,ex355,355
356,ex356,356
357,ex357,357
358,ex358,358
359,ex359,359
360,ex360,360
361,ex361,361
362,ex362,362
363,ex363,363
364,ex364,364
365,ex365,365
366,ex366,366
367,ex367,367
368,ex368,368
369,ex369,369
370,ex370,370
371,ex371,371
372,ex372,372
373,ex373,373
374,ex374,374
375,ex375,375
376,ex376,376
377,ex377,377
378,ex378,378
379,ex379,379
380,ex380,380
381,ex381,381
382,ex382,382
383,ex383,383
384,ex384,384
385,ex385,385
386,ex386,386
387,ex387,387
388,ex388,388
389,ex389,389
390,ex390,390
391,ex391,391
392,ex392,392
393,ex393,393
394,ex394,394
395,ex395,395
396,ex396,396
397,ex397,397
398,ex398,398
399,ex399,399
400,ex400,400
401,ex401,401
402,ex402,402
403,ex403,403
404,ex404,404
405,ex405,405
406,ex406,406
407,ex407,407
408,ex408,408
409,ex409,409
410,ex410,410
411,ex411,411
412,ex412,412
413,ex413,413
414,ex414,414
415,ex415,415
416,ex416,416
417,ex417,417
418,ex418,418
419,ex419,419
420,ex420,420
421,ex421,421
422,ex422,422
423,ex423,423
424,ex424,424
425,ex425,425
426,ex426,426
427,ex427,427
428,ex428,428
429,ex429,429
430,ex430,430
431,ex431,431
432,ex432,432
433,ex433,433
434,ex434,434
435,ex435,435
436,ex436,436
437,ex437,437
438,ex438,438
439,ex439,439
440,ex440,440
441,ex441,441
442,ex442,442
443,ex443,443
444,ex444,444
445,ex445,445
446,ex446,446
447,ex447,447
448,ex448,448
449,ex449,449
450,ex450,450
451,ex451,451
452,ex452,452
453,ex453,453
454,ex454,454
455,ex455,455
456,ex456,456
457,ex457,457
458,ex458,458
459,ex459,459
460,ex460,460
461,ex461,461
462,ex462,462
463,ex463,463
464,ex464,464
465,ex465,465
466,ex466,466
467,ex467,467
468,ex468,468
469,ex469,469
470,ex470,470
471,ex471,471
472,ex472,472
473,ex473,473
474,ex474,474
475,ex475,475
476,ex476,476
477,ex477,477
478,ex478,478
479,ex479,479
480,ex480,480
481,ex481,481
482,ex482,482
483,ex483,483
484,ex484,484
485,ex485,485
486,ex486,486
487,ex487,487
488,ex488,488
489,ex489,489
490,ex490,490
491,ex491,491
492,ex492,492
493,ex493,493
494,ex494,494
495,ex495,495
496,ex496,496
497,ex497,497
498,ex498,498
499,ex499,499
500,ex500,500
501,ex501,501
502,ex502,502
503,ex503,503
504,ex504,504
505,ex505,505
506,ex506,506
507,ex507,507
508,ex508,508
509,ex509,509
510,ex510,510
511,ex511,511
512,ex512,512
513,ex513,513
514,ex514,514
515,ex515,515
516,ex516,516
517,ex517,517
518,ex518,518
519,ex519,519
520,ex520,520
521,ex521,521
522,ex522,522
523,ex523,523
524,ex524,524
525,ex525,525
526,ex526,526
527,ex527,527
528,ex528,528
529,ex529,529
530,ex530,530
531,ex531,531
532,ex532,532
533,ex533,533
534,ex534,534
535,ex535,535
536,ex536,536
537,ex537,537
538,ex538,538
539,ex539,539
540,ex540,540
541,ex541,541
542,ex542,542
543,ex543,543
544,ex544,544
545,ex545,545
546,ex546,546
547,ex547,547
548,ex548,548
549,ex549,549
550,ex550,550
551,ex551,551
552,ex552,552
553,ex553,553
554,ex554,554
555,ex555,555
556,ex556,556
557,ex557,557
558,ex558,558
559,ex559,559
560,ex560,560
561,ex561,561
562,ex562,562
563,ex563,563
564,ex564,564
565,ex565,565
566,ex566,566
567,ex567,567
568,ex568,568
569,ex569,569
570,ex570,570
571,ex571,571
572,ex572,572
573,ex573,573
574,ex574,574
575,ex575,575
576,ex576,576
577,ex577,577
578,ex578,578
579,ex579,579
580,ex580,580
581,ex581,581
582,ex582,582
583,ex583,583
584,ex584,584
585,ex585,585
586,ex586,586
587,ex587,587
588,ex588,588
589,ex589,589
590,ex590,590
591,ex591,591
592,ex592,592
593,ex593,593
594,ex594,594
595,ex595,595
596,ex596,596
597,ex597,597
598,ex598,598
599,ex599,599
600,ex600,600
601,ex601,601
602,ex602,602
603,ex603,603
604,ex604,604
605,ex605,605
606,ex606,606
607,ex607,607
608,ex608,608
609,ex609,609
610,ex610,610
611,ex611,611
612,ex612,612
613,ex613,613
614,ex614,614
615,ex615,615
616,ex616,616
617,ex617,617
618,ex618,618
619,ex619,619
620,ex620,620
621,ex621,621
622,ex622,622
623,ex623,623
624,ex624,624
625,ex625,625
626,ex626,626
627,ex627,627
628,ex628,628
629,ex629,629
630,ex630,630
631,ex631,631
632,ex632,632
633,ex633,633
634,ex634,634
635,ex635,635
636,ex636,636
637,ex637,637
638,ex638,638
639,ex639,639
640,ex640,640
641,ex641,641
642,ex642,642
643,ex643,643
644,ex644,644
645,ex645,645
646,ex646,646
647,ex647,647
648,ex648,648
649,ex649,649
650,ex650,650
651,ex651,651
652,ex652,652
653,ex653,653
654,ex654,654
655,ex655,655
656,ex656,656
657,ex657,657
658,ex658,658
659,ex659,659
660,ex660,660
661,ex661,661
662,ex662,662
663,ex663,663
664,ex664,664
665,ex665,665
666,ex666,666
667,ex667,667
668,ex668,668
669,ex669,669
670,ex670,670
671,ex671,671
672,ex672,672
673,ex673,673
674,ex674,674
675,ex675,675
676,ex676,676
677,ex677,677
678,ex678,678
679,ex679,679
680,ex680,680
681,ex681,681
682,ex682,682
683,ex683,683
684,ex684,684
685,ex685,685
686,ex686,686
687,ex687,687
688,ex688,688
689,ex689,689
690,ex690,690
691,ex691,691
692,ex692,692
693,ex693,693
694,ex694,694
695,ex695,695
696,ex696,696
697,ex697,697
698,ex698,698
699,ex699,699
700,ex700,700
701,ex701,701
702,ex702,702
703,ex703,703
704,ex704,704
705,ex705,705
706,ex706,706
707,ex707,707
708,ex708,708
709,ex709,709
710,ex710,710
711,ex711,711
712,ex712,712
713,ex713,713
714,ex714,714
715,ex715,715
716,ex716,716
717,ex717,717
718,ex718,718
719,ex719,719
720,ex720,720
721,ex721,721
722,ex722,722
723,ex723,723
724,ex724,724
725,ex725,725
726,ex726,726
727,ex727,727
728,ex728,728
729,ex729,729
730,ex730,730
731,ex731,731
732,ex732,732
733,ex733,733
734,ex734,734
735,ex735,735
736,ex736,736
737,ex737,737
738,ex738,738
739,ex739,739
