exercise_index,entity_id,original_question_id
0,ex0,1PTB02
1,ex1,1PTB03
2,ex2,1PTB04
3,ex3,1PTB05
4,ex4,1PTB06
5,ex5,1PTB07
6,ex6,1PTB08
7,ex7,1PTB09
8,ex8,1PTFB10
9,ex9,1PTFB11
10,ex10,1PTFB12
11,ex11,1PTFB13
12,ex12,1PTFB14
13,ex13,1PTFB15
14,ex14,1PTFB16
15,ex15,1PTFB17
16,ex16,1PTFB18
17,ex17,2PTFB10
18,ex18,2PTFB11
19,ex19,2PTFB12
20,ex20,2PTFB13
21,ex21,2PTFB14
22,ex22,2PTFB15
23,ex23,2PTFB16
24,ex24,2PTFB18
25,ex25,2PTFB19
26,ex26,2PTFB20
27,ex27,2PTFB21
28,ex28,2PTFB22
29,ex29,2PTS01
30,ex30,2PTS02
31,ex31,2PTS03
32,ex32,2PTS06
33,ex33,2PTS07
34,ex34,2PTS08
35,ex35,2X+3YGT9
36,ex36,2X+YGE6
37,ex37,3X-YLT6
38,ex38,4X-5YGT40
39,ex39,7X-4YGE15
40,ex40,BH1T02
41,ex41,BH1T02A
42,ex42,BH1T02B
43,ex43,BH1T02C
44,ex44,BH1T03
45,ex45,BH1T04
46,ex46,BH1T05
47,ex47,BH1T06
48,ex48,BH1T07
49,ex49,BH1T08
50,ex50,BH1T08A
51,ex51,BH1T08B
52,ex52,BH1T08C
53,ex53,BH1T09
54,ex54,BH1T10
55,ex55,BH1T10A
56,ex56,BH1T10B
57,ex57,BH1T10C
58,ex58,BH1T12
59,ex59,BH1T13
60,ex60,BH1T14
61,ex61,BH1T15
62,ex62,BH1T15A
63,ex63,BH1T15B
64,ex64,BH1T15C
65,ex65,BH1T17
66,ex66,BH1T17A
67,ex67,BH1T17B
68,ex68,BH1T17C
69,ex69,BH1T18
70,ex70,BH1T19
71,ex71,BH1T19A
72,ex72,BH1T19B
73,ex73,BH1T19C
74,ex74,BH1T20
75,ex75,BH1T21
76,ex76,BH1T21A
77,ex77,BH1T21B
78,ex78,BH1T21C
79,ex79,BH1T22
80,ex80,BH1T22A
81,ex81,BH1T22B
82,ex82,BH1T22C
83,ex83,BH1T23
84,ex84,BH1T23A
85,ex85,BH1T23B
86,ex86,BH1T23C
87,ex87,BH1T24
88,ex88,BH1T24A
89,ex89,BH1T24B
90,ex90,BH1T24C
91,ex91,BH1T25
92,ex92,BH1T26
93,ex93,BH1T26A
94,ex94,BH1T26B
95,ex95,BH1T26C
96,ex96,BH1T27
97,ex97,BH1T27A
98,ex98,BH1T27B
99,ex99,BH1T27C
100,ex100,BH1T28
101,ex101,BH1T28A
102,ex102,BH1T28B
103,ex103,BH1T28C
104,ex104,BH1T29
105,ex105,BH1T29A
106,ex106,BH1T29B
107,ex107,BH1T29C
108,ex108,BH1T30
109,ex109,BH1T30A
110,ex110,BH1T30B
111,ex111,BH1T30C
112,ex112,BH1T31
113,ex113,BH1T31A
114,ex114,BH1T31B
115,ex115,BH1T31C
116,ex116,BH1T32
117,ex117,BH1T32A
118,ex118,BH1T32B
119,ex119,BH1T32C
120,ex120,BH1T33
121,ex121,BH1T33A
122,ex122,BH1T33B
123,ex123,BH1T33C
124,ex124,BH1T34
125,ex125,BH1T34A
126,ex126,BH1T34B
127,ex127,BH1T34C
128,ex128,BH1T35
129,ex129,BH1T35A
130,ex130,BH1T35B
131,ex131,BH1T35C
132,ex132,BH1T36
133,ex133,BH1T36A
134,ex134,BH1T36B
135,ex135,BH1T36C
136,ex136,BH1T37
137,ex137,BH1T38
138,ex138,BH1T39
139,ex139,BH1T39A
140,ex140,BH1T39B
141,ex141,BH1T39C
142,ex142,BH1T40
143,ex143,BH1T41
144,ex144,BH1T41A
145,ex145,BH1T41B
146,ex146,BH1T41C
147,ex147,BH1T42
148,ex148,BH1T43
149,ex149,BH1T44
150,ex150,BH1T45
151,ex151,BH1T46
152,ex152,BH1T47
153,ex153,BH1T47A
154,ex154,BH1T47B
155,ex155,BH1T47C
156,ex156,BH1T48
157,ex157,BH1T49
158,ex158,BH1T50
159,ex159,BH1T51
160,ex160,BH1T52
161,ex161,DEC01
162,ex162,DEC01A
163,ex163,DEC01B
164,ex164,DEC01C
165,ex165,DEC02
166,ex166,DEC03
167,ex167,DEC03A
168,ex168,DEC03B
169,ex169,DEC03C
170,ex170,DEC04
171,ex171,DEC05
172,ex172,DEC06
173,ex173,DEC07
174,ex174,DEMO_10
175,ex175,DEMO_5
176,ex176,DEMO_8
177,ex177,DIST01
178,ex178,DIST02_SP
179,ex179,DIST03_SP
180,ex180,DIST04_SP
181,ex181,DIST05_SP
182,ex182,DIST06_SP
183,ex183,DIST09_SP
184,ex184,DIST10_SP
185,ex185,DIST11_SP
186,ex186,DISTFB01_SP
187,ex187,DISTFB03_SP
188,ex188,DISTFB04_SP
189,ex189,DISTFB05_SP
190,ex190,DISTFB06_SP
191,ex191,DISTFB07_SP
192,ex192,DISTFB08_SP
193,ex193,DISTFB10_SP
194,ex194,DISTFB11_SP
195,ex195,DISTFB12_SP
196,ex196,DISTFB13_SP
197,ex197,EG-EPS01
198,ex198,EG-EPS01-FIXED
199,ex199,EG-EPS02
200,ex200,EG-EPS03
201,ex201,EG-EPS04
202,ex202,EG-EPS04-FIXED
203,ex203,EG-EPS05
204,ex204,EG-EPS06
205,ex205,EG-EPS07
206,ex206,EG-EPS08
207,ex207,EG-EPS09
208,ex208,EG-EQS01
209,ex209,EG-EQS01-FIXED
210,ex210,EG-EQS02
211,ex211,EG-EQS03
212,ex212,EG-EQS04
213,ex213,EG-EQS04-FIXED
214,ex214,EG-EQS05
215,ex215,EG-EQS06
216,ex216,EG-EQS07
217,ex217,EG-EQS08
218,ex218,EG-EQS09
219,ex219,EG-FACTOR01
220,ex220,EG-FACTOR02
221,ex221,EG-FACTOR03
222,ex222,EG-FACTOR04
223,ex223,EG-FACTOR05
224,ex224,EG-FACTOR06
